	Time
0	1.3351233005523682
1	1.4773612022399902
2	0.3450751304626465
3	0.4218719005584717
4	0.34108805656433105
5	0.35861706733703613
6	0.3480699062347412
7	0.39095354080200195
8	0.34108734130859375
9	0.39197444915771484
10	0.37650370597839355
11	0.3530557155609131
12	0.37650442123413086
13	0.399310827255249
14	0.33014655113220215
15	0.39594149589538574
16	0.36239099502563477
17	0.4224555492401123
18	0.34960389137268066
19	0.40291547775268555
20	0.3555731773376465
21	0.4166600704193115
22	0.39818310737609863
23	0.40427184104919434
24	0.3560478687286377
25	0.34407901763916016
26	0.34894776344299316
27	0.3640263080596924
28	0.33038949966430664
29	0.36302924156188965
30	0.33709716796875
31	0.3261284828186035
32	0.3206508159637451
33	0.38497376441955566
34	0.3680136203765869
35	0.4138925075531006
36	0.37633204460144043
37	0.37853431701660156
38	0.3236427307128906
39	0.3400909900665283
40	0.33510303497314453
41	0.3575561046600342
42	0.32065534591674805
43	0.33809590339660645
44	0.33710217475891113
45	0.33510446548461914
46	0.325639009475708
47	0.35205841064453125
48	0.31615400314331055
49	0.39095568656921387
50	0.3845198154449463
51	0.3979372978210449
52	0.3759944438934326
53	0.3790268898010254
54	0.32427501678466797
55	0.3400912284851074
56	0.3311145305633545
57	0.345181941986084
58	0.3625466823577881
59	0.3835263252258301
60	0.3730020523071289
61	0.4009697437286377
62	0.46045398712158203
63	0.5080735683441162
64	0.4478938579559326
65	0.4660048484802246
66	0.3480679988861084
67	0.35704493522644043
68	0.3231241703033447
69	0.3351023197174072
70	0.3349876403808594
71	0.36901426315307617
72	0.3280816078186035
73	0.3645358085632324
74	0.39409375190734863
75	0.42087459564208984
76	0.4059150218963623
77	0.3994476795196533
78	0.3450813293457031
79	0.34943199157714844
80	0.33211350440979004
81	0.36302804946899414
82	0.3074049949645996
83	0.3537628650665283
84	0.33461594581604004
85	0.34906506538391113
86	0.33310627937316895
87	0.374997615814209
88	0.3670847415924072
89	0.41188526153564453
90	0.38349413871765137
91	0.3892943859100342
92	0.3196537494659424
93	0.3291199207305908
94	0.33606791496276855
95	0.35505056381225586
96	0.32109570503234863
97	0.3281223773956299
98	0.32512593269348145
99	0.32165002822875977
100	0.3088643550872803
101	0.34536027908325195
102	0.3450734615325928
103	0.42685961723327637
104	0.37100768089294434
105	0.38348841667175293
106	0.3171508312225342
107	0.35205960273742676
108	0.3130207061767578
109	0.32819032669067383
110	0.3236730098724365
111	0.3261275291442871
112	0.3171525001525879
113	0.35504984855651855
114	0.3091287612915039
115	0.34906673431396484
116	0.36428046226501465
117	0.3887779712677002
118	0.37699055671691895
119	0.39152979850769043
120	0.33809566497802734
121	0.3400907516479492
122	0.3107273578643799
123	0.32981443405151367
124	0.3251328468322754
125	0.31716132164001465
126	0.3211405277252197
127	0.33997154235839844
128	0.3206813335418701
129	0.3301401138305664
130	0.337099552154541
131	0.36602044105529785
132	0.3475198745727539
133	0.3795661926269531
134	0.3648247718811035
135	0.3291206359863281
136	0.3112044334411621
137	0.3151228427886963
138	0.30817222595214844
139	0.348069429397583
140	0.2972376346588135
141	0.3400590419769287
142	0.30778002738952637
143	0.3259859085083008
144	0.3061809539794922
145	0.35914063453674316
146	0.3607492446899414
147	0.36804842948913574
148	0.36803483963012695
149	0.3041856288909912
150	0.3151564598083496
151	0.33571887016296387
152	0.3010420799255371
153	0.33510351181030273
154	0.33809494972229004
155	0.3201446533203125
156	0.31212615966796875
157	0.35804128646850586
158	0.29624342918395996
159	0.3345913887023926
160	0.3675858974456787
161	0.3684413433074951
162	0.37300801277160645
163	0.3629288673400879
164	0.333071231842041
165	0.3178257942199707
166	0.29720544815063477
167	0.31016993522644043
168	0.3231358528137207
169	0.553523063659668
170	0.34407997131347656
171	0.29616594314575195
172	0.33411645889282227
173	0.321164608001709
174	0.3530542850494385
175	0.3520314693450928
176	0.45579051971435547
177	0.3725776672363281
178	0.30969858169555664
179	0.37998342514038086
180	0.3226478099822998
181	0.3238530158996582
182	0.4303860664367676
183	0.3670156002044678
184	0.3356142044067383
185	0.4031028747558594
186	0.4114828109741211
187	0.4338397979736328
188	0.4757118225097656
189	0.4757251739501953
190	0.39792871475219727
191	0.38696742057800293
192	0.38198328018188477
193	0.4129185676574707
194	0.4168848991394043
195	0.3879826068878174
196	0.4197957515716553
197	0.3859677314758301
198	0.39593958854675293
199	0.4525179862976074
200	0.45647573471069336
201	0.4528210163116455
202	0.433835506439209
203	0.4094581604003906
204	0.3902876377105713
205	0.41915321350097656
206	0.4270355701446533
207	0.41814541816711426
208	0.4059147834777832
209	0.3984401226043701
210	0.418581485748291
211	0.4418172836303711
212	0.4577765464782715
213	0.4360475540161133
214	0.41693973541259766
215	0.3999297618865967
216	0.3759942054748535
217	0.4019949436187744
218	0.3869619369506836
219	0.40192604064941406
220	0.3939485549926758
221	0.38884496688842773
222	0.42168498039245605
223	0.47887587547302246
224	0.4612903594970703
225	0.4220881462097168
226	0.38558077812194824
227	0.39893364906311035
228	0.3639812469482422
229	0.3809823989868164
230	0.4129796028137207
231	0.3889596462249756
232	0.394946813583374
233	0.3660850524902344
234	0.4109017848968506
235	0.43834590911865234
236	0.44234728813171387
237	0.4204437732696533
238	0.44381022453308105
239	0.39943909645080566
240	0.39530372619628906
241	0.40056777000427246
242	0.37602734565734863
243	0.4019317626953125
244	0.40267515182495117
245	0.42583727836608887
246	0.4049184322357178
247	0.42586374282836914
248	0.4418349266052246
249	0.431884765625
250	0.4178793430328369
251	0.39594006538391113
252	0.3780190944671631
253	0.3994574546813965
254	0.3824913501739502
255	0.3979356288909912
256	0.3779904842376709
257	0.37051868438720703
258	0.4168846607208252
259	0.4218723773956299
260	0.43634581565856934
261	0.4292337894439697
262	0.42710185050964355
263	0.38497042655944824
264	0.3690145015716553
265	0.38756251335144043
266	0.36852121353149414
267	0.3719518184661865
268	0.4413323402404785
269	0.4273703098297119
270	0.41588687896728516
271	0.4458038806915283
272	0.42992711067199707
